bookID,title,authors,average_rating,isbn,language_code,# num_pages,ratings_count,text_reviews_count,prices
2050,Farewell  My Lovely (Philip Marlowe  #2),Raymond Chandler,4.15,394758277,eng,292,24015,1120,72.96
2051,The Simple Art of Murder,Raymond Chandler,4.16,394757653,eng,384,4794,152,254.73
2052,The Big Sleep (Philip Marlowe  #1),Raymond Chandler,4.01,394758285,eng,231,97885,3818,41.1
2054,The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,4.22,394757688,eng,379,25244,1530,210.02
2056,An Evening of Long Goodbyes,Paul Murray,3.6,812970403,eng,448,947,127,70.31
2058,Ghost In the Shell 2: Innocence: After the Long Goodbye,Masaki Yamada-Yuji Oniki-Carl Gustav Horn,3.98,1421501562,eng,196,247,12,63.92
2059,The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,4.22,056352474X,eng,2,9,2,245.21
2067,Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,3.89,067003472X,eng,448,9703,319,133.3
2068,Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,4.04,068482471X,eng,588,12663,227,110.23
2069,Consciousness Explained,Daniel C. Dennett,3.88,316180661,eng,511,6393,253,75.94
2071,Freedom Evolves,Daniel C. Dennett,3.83,142003840,en-US,368,2267,87,251.7
2074,Kinds of Minds: Towards an Understanding of Consciousness,Daniel C. Dennett,3.82,465073514,eng,192,1516,64,167.87
2077,Leaps of Faith: Science  Miracles & the Search for Supernatural Consolation,Nicholas Humphrey-Daniel C. Dennett,3.76,387987207,en-US,244,20,3,203.89
2078,Elbow Room: The Varieties of Free Will Worth Wanting,Daniel C. Dennett,3.92,262540428,eng,200,474,34,31.99
2081,The Mind’s I: Fantasies and Reflections on Self and Soul,Douglas R. Hofstadter-Daniel C. Dennett,4.14,553345842,eng,512,4715,90,35.05
2093,The Illustrated A Brief History of Time,Stephen Hawking,4.16,553103741,eng,256,750,58,187.72
2094,A Briefer History of Time,Stephen Hawking-Leonard Mlodinow-Gheorghe Stratan,4.21,553804367,eng,176,22855,794,213.2
2095,The Universe in a Nutshell,Stephen Hawking,4.15,055380202X,eng,216,27792,615,192.03
2096,God Created the Integers: The Mathematical Breakthroughs That Changed History,Stephen Hawking,4.06,762419229,eng,1160,1650,50,84.23
2099,Stephen Hawking's Universe: The Cosmos Explained,David Filkin-Stephen Hawking,4.28,465081983,eng,304,1383,22,236.67
2100,The Future of Spacetime,Stephen Hawking-Kip S.,3.93,039332446X,eng,224,241,9,161.08
2102,Stephen Hawking's Universe,John Boslough,4.04,380707632,eng,160,648,30,99.24
2103,The Nature of Space and Time,Stephen Hawking-Roger Penrose,4.09,691050848,eng,152,945,37,157.17
2104,The Physics of Star Trek,Lawrence M. Krauss-Stephen Hawking,3.83,60977108,eng,188,4641,172,25.73
2112,The Art of Nonfiction: A Guide for Writers and Readers,Ayn Rand-Robert Mayhew-Peter   Schwartz,3.96,452282314,en-US,192,406,35,115.88
2113,The Journals of Ayn Rand,Ayn Rand-Leonard Peikoff-David Harriman,3.95,452278872,eng,752,307,12,80.44
2122,The Fountainhead,Ayn Rand-Leonard Peikoff,3.86,451191153,eng,704,264209,9828,191.54
2131,The Hours,Michael Cunningham,3.93,1841150355,eng,230,1533,122,232.61
2136,Specimen Days,Michael Cunningham,3.58,312425023,eng,336,4380,441,111.61
2137,A Home at the End of the World,Michael Cunningham,3.9,312424086,eng,342,14277,644,268.17
2140,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.92,316172324,en-US,277,4089,345,129.2
2142,Blink,Ted Dekker,4.17,849945119,eng,400,12968,489,41.18
2143,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.92,073945529X,en-US,296,65,2,72.98
2144,Blink-182: Tales from Beneath Your Mom,Mark Hoppus-Anne Hoppus-Alex Gaskarth,4.4,743422074,eng,112,158,19,154.44
2151,The Complete Novels,Jane Austen-Hugh  Thomson,4.55,517147688,eng,1103,298,31,77.75
2152,The Jane Austen Book Club,Karen Joy Fowler,3.08,452286530,eng,288,56434,3445,195.37
2153,Jane Austen: The Complete Novels,Jane Austen,4.55,517118297,eng,1103,264,24,39.88
2155,Jane Austen's Letters,Jane Austen-Deirdre Le Faye,4.15,192832972,eng,672,2211,66,178.95
2156,Persuasion,Jane Austen-James Kinsley-Maurgaux Motin-Deidre Shauna Lynch,4.13,192802631,eng,249,421344,10674,241.53
2157,Tea with Jane Austen,Kim Wilson-Tom Carpenter,3.78,097212179X,eng,128,1415,104,107.52
2165,The Old Man and the Sea,Ernest Hemingway,3.76,684830493,eng,132,628067,14689,110.31
2166,The Old Man and the Sea,Ernest Hemingway-Donald Sutherland,3.76,743564367,eng,3,359,73,206.09
2167,Cliffs Notes on Hemingway's The Old Man and the Sea,Jeanne Sallade Criswell-Gary Carey,2.83,764586602,en-US,80,4,0,60.37
2168,The Old Man and the Sea,Ernest Hemingway,3.76,684718057,en-US,127,1160,116,137.6
2169,The Old Man and the Sea,Ernest Hemingway,3.76,684163268,eng,127,761,86,63.8
2176,Flaubert's Parrot,Julian Barnes,3.66,679731369,eng,190,8925,567,45.2
2178,Flaubert in Egypt: A Sensibility on Tour,Gustave Flaubert-Francis Steegmuller-Eugène Delacroix,3.63,140435824,eng,230,358,32,134.19
2179,A Sentimental Education,Gustave Flaubert-Douglas Parmée,3.83,192836226,eng,464,104,6,194.17
2180,Madame Bovary,Gustave Flaubert-Mildred Marmur-Robin Morgan,3.66,451528204,eng,448,468,57,217.99
2182,Three Tales,Gustave Flaubert-Roger Whitehouse-Geoffrey Wall,3.71,140448004,eng,110,3050,139,146.37
2183,Sentimental Education,Gustave Flaubert-Robert Baldick-Geoffrey Wall,3.83,140447970,eng,460,13081,362,59.82
2186,The Family Idiot 5: Gustave Flaubert 1821-1857,Jean-Paul Sartre-Carol Cosman,3.8,226735192,en-US,632,5,1,61.21
2187,Middlesex,Jeffrey Eugenides,3.99,312422156,eng,529,526111,19312,238.22
2199,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.28,743270754,eng,916,125020,5912,170.39
2201,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.28,1419364621,eng,42,89,28,251.42
2203,John Adams,David McCullough,4.06,743223136,eng,751,264047,5172,29.66
2204,The John Adams Reader: Eseential Writings on an American Composer,Thomas May-John   Adams,3.5,1574671324,eng,455,20,5,89.31
2205,The Letters of John and Abigail Adams,Abigail Adams-Frank Shuffelton,4.17,142437115,eng,512,267,26,44.8
2211,The Portable John Adams,John  Adams-John Patrick Diggins,4.11,142437786,eng,533,56,0,192.38
2218,Sex For Dummies,Ruth Westheimer,3.62,076455302X,eng,432,9,0,94.92
2219,Baby Signing For Dummies,Jennifer Watson,3.63,471773867,eng,257,36,8,98.47
2222,The Feeling Good Handbook,David D. Burns,4,452281326,eng,729,4666,119,203.43
2226,On Death and Dying,Elisabeth Kübler-Ross,4.16,684842238,eng,288,140,11,256.16
2227,Questions and Answers on Death and Dying: A Companion Volume to On Death and Dying,Elisabeth Kübler-Ross,4.08,684839377,eng,192,186,8,117.55
2228,The Last Dance: Encountering Death and Dying,Lynne Ann DeSpelder-Albert Lee Strickland,3.77,72920963,eng,664,112,12,161.52
2249,The Seven Habits of Highly Effective People,Stephen R. Covey,4.09,671708635,eng,368,2419,225,224.88
2250,The 7 Habits of Highly Effective People Personal Workbook,Stephen R. Covey,4.22,743250974,eng,192,1685,102,52.46
2255,Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,4.14,1932073205,en-US,240,38159,1561,24.57
2257,Secret of the Peaceful Warrior,Dan Millman-Robert D. San Souci-T. Taylor Bruce,4.18,915811235,en-US,32,152,14,140.13
2265,It's Not about the Bike: My Journey Back to Life,Lance Armstrong-Sally Jenkins,3.72,425179613,eng,294,34588,1828,98.65
2267,23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,John Wilcockson-Graham   Watson,3.67,306814552,eng,344,354,26,63.08
2279,Truman,David McCullough,4.11,671869205,eng,1120,69904,1854,245.91
2281,The Complete Stories of Truman Capote,Truman Capote-Reynolds Price,4.2,140009691X,eng,320,3842,215,161.59
2282,Breakfast at Tiffany's: A Short Novel and Three Stories,Truman Capote,3.89,067960085X,eng,162,5607,691,63.12
2283,Murder at The Washington Tribune (Capital Crimes  #21),Margaret Truman,3.58,345478207,eng,384,556,76,29.1
2285,Murder at Ford's Theatre (Capital Crimes  #19),Margaret Truman,3.72,449007383,en-US,376,592,66,49.81
2287,Other Voices  Other Rooms,Truman Capote,3.81,679745645,eng,232,10212,618,214.3
2289,In Cold Blood,Truman Capote-Scott Brick,4.07,073933364X,eng,15,529,126,249.26
2296,Emergence: The Connected Lives of Ants  Brains  Cities  and Software,Steven Johnson,3.96,684868768,en-US,288,2685,197,152.04
2299,Emergence: Labeled Autistic,Temple Grandin-Margaret M. Scariano,4.07,446671827,en-GB,200,1771,150,55.2
2300,Emergence,David R. Palmer,4.16,553245015,eng,291,1640,163,287.63
2304,The Emergence of Life on Earth: A Historical and Scientific Overview,Iris Fry,4.06,813527406,eng,344,46,5,59.48
2305,The Ghost Stories of Edith Wharton,Edith Wharton-Laszlo Kubinyi,3.89,684842572,eng,303,2687,175,63.93
2306,Novels: The House of Mirth / The Reef / The Custom of the Country / The Age of Innocence,Edith Wharton-R.W.B. Lewis,4.3,940450313,eng,1328,427,27,153.43
2307,Collected Stories  1911-1937,Edith Wharton-Maureen Howard,4.28,1883011949,eng,848,53,8,45.34
2314,The House of Mirth,Edith Wharton,3.95,486420493,eng,272,743,62,294.37
2315,Below the Root (Green Sky  #1),Zilpha Keatley Snyder-Alton Raible,4.09,689304579,eng,231,40,9,160.89
2319,The Witches of Worm,Zilpha Keatley Snyder,3.68,440802504,eng,183,34,9,288.43
2322,The Deeper Meaning of Liff,Douglas Adams-John Lloyd,3.93,307236013,eng,192,3924,81,40.4
2326,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,3.98,1597770078,eng,6,56,14,237.16
2327,The Letters of J.R.R. Tolkien,J.R.R. Tolkien-Humphrey Carpenter-Christopher Tolkien,4.14,618056998,eng,502,4541,159,118.71
2329,The History of the Lord of the Rings (The History of Middle-earth #6-9),J.R.R. Tolkien-Christopher Tolkien,4.38,618083553,en-US,1680,230,3,79.88
2330,The Languages of Tolkien's Middle-Earth,Ruth S. Noel-J.R.R. Tolkien,3.97,395291305,eng,207,4635,69,23.19
2331,The Lord of the Rings- 3 volumes set (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,618574999,en-US,1438,233,9,197.8
2333,Farmer Giles of Ham,J.R.R. Tolkien-Christina Scull-Wayne G. Hammond,3.84,618009361,eng,127,5221,198,203.18
2338,Matthew Flinders' Cat,Bryce Courtenay,3.8,670910619,eng,611,2627,147,263.83
2340,Whitethorn,Bryce Courtenay,4.07,067002922X,eng,683,2203,130,192.62
2343,Solomon's Song (The Potato Factory  #3),Bryce Courtenay,4.01,140271570,eng,671,3767,125,243.47
2353,Cold Counsel: Women in Old Norse Literature and Myth,Sarah M.  Anderson-Karen Swenson,3.61,815319665,eng,320,18,2,176.57
2367,Brave Companions: Portraits in History,David McCullough,3.98,671792768,eng,240,3166,441,189.24
2370,John Adams,David McCullough,4.06,684813637,en-US,752,1785,276,164.45
2371,The Johnstown Flood,David McCullough,4.1,844662925,eng,302,13806,1128,196.6
2372,The Path Between the Seas: The Creation of the Panama Canal  1870-1914,David McCullough,4.19,743262131,eng,697,11534,987,41.27
2373,The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,4.19,451188454,eng,528,132188,1636,278.61
2374,The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,4.19,340682116,en-GB,467,222,31,244.91
2378,El Coleccionista De Huesos (Lincoln Rhyme  #1),Jeffery Deaver,4.19,8466305130,spa,640,26,2,290.59
2386,Moby Dick,Herman Melville-William Hootkins,3.49,9626343583,eng,25,66,17,187.87
2388,Moby-Dick,Jan Needle-Patrick Benson-Herman Melville,3.72,763630187,eng,192,155,16,44.83
2389,Moby Dick,Herman Melville-William Hootkins,3.49,143058096,eng,6,8872,900,21.65
2390,Moby-Dick,Herman Melville-Carl F. Hovde,3.49,1593080182,eng,707,1165,193,153.35
2400,Herman Melville's Moby-Dick: A Routledge Study Guide and Sourcebook,Michael J. Davey-Duncan Wu,3.61,415247713,eng,208,50,7,101.86
2404,Moby Dick: or The White Whale (Oxford Illustrated Classics),Geraldine McCaughrean-Victor G. Ambrus-Herman Melville,3.85,192781537,eng,104,38,5,211.12
